dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
Unknown,50% 0% 50%,N,38.66,100.0,55.74,38.6,100.0,55.68
Unknown,50% 0% 50%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,50% 0% 50%,N,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,50% 0% 50%,N,44.95,100.0,61.89,45.69,100.0,62.62
Unknown,50% 0% 50%,N,80.49,100.0,89.19,80.48,100.0,89.19
Unknown,50% 0% 50%,N,73.44,100.0,84.68,73.53,100.0,84.74
Unknown,50% 0% 50%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,50% 0% 50%,N,74.38,100.0,85.31,74.39,100.0,85.31
Unknown,50% 0% 50%,N,84.07,100.0,91.34,84.3,100.0,91.47
Unknown,50% 0% 50%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,50% 0% 50%,N,95.42,100.0,97.66,95.47,100.0,97.68
Unknown,50% 0% 50%,N,89.61,100.0,94.52,89.55,100.0,94.49
Unknown,50% 0% 50%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,50% 0% 50%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,50% 0% 50%,N,60.15,100.0,75.12,60.15,100.0,75.12
