dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,25% 50% 25%,N,52.16,100.0,67.85,50.09,100.0,66.3
bpic2011_f2,25% 50% 25%,N,38.66,100.0,55.74,38.6,100.0,55.68
bpic2011_f3,25% 50% 25%,N,61.32,100.0,75.59,60.08,100.0,74.76
bpic2011_f4,25% 50% 25%,N,52.89,100.0,69.1,53.25,100.0,69.42
bpic2012_accepted,25% 50% 25%,N,44.64,100.0,61.57,45.5,100.0,62.43
bpic2012_declined,25% 50% 25%,N,80.76,100.0,89.35,80.64,100.0,89.28
bpic2015_1_f2,25% 50% 25%,N,73.47,100.0,84.7,73.56,100.0,84.76
bpic2015_2_f2,25% 50% 25%,N,83.46,100.0,90.98,83.45,100.0,90.98
bpic2015_3_f2,25% 50% 25%,N,74.38,100.0,85.31,74.39,100.0,85.31
bpic2015_4_f2,25% 50% 25%,N,84.07,100.0,91.33,84.33,100.0,91.49
bpic2015_5_f2,25% 50% 25%,N,72.83,100.0,84.28,72.86,100.0,84.3
hospital_billing_2,25% 50% 25%,N,90.06,100.0,94.74,89.71,100.0,94.55
hospital_billing_3,25% 50% 25%,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,25% 50% 25%,N,63.78,100.0,77.86,64.52,100.0,78.4
sepsis_cases_1,25% 50% 25%,N,89.61,100.0,94.52,89.55,100.0,94.49
sepsis_cases_2,25% 50% 25%,N,89.82,100.0,94.57,89.39,100.0,94.34
sepsis_cases_4,25% 50% 25%,N,17.47,100.0,29.6,16.84,100.0,28.72
traffic_fines_1,25% 50% 25%,N,60.15,100.0,75.12,60.15,100.0,75.12
traffic_fines_1,25% 50% 25%,N,60.15,100.0,75.12,60.15,100.0,75.12
