dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,50% 50% 0%,N,52.16,100.0,67.85,50.09,100.0,66.3
Unknown,50% 50% 0%,N,38.62,100.0,55.71,38.57,100.0,55.65
Unknown,50% 50% 0%,N,61.32,100.0,75.59,60.08,100.0,74.76
Unknown,50% 50% 0%,N,52.89,100.0,69.1,53.25,100.0,69.42
Unknown,50% 50% 0%,N,44.64,100.0,61.57,45.5,100.0,62.43
Unknown,50% 50% 0%,N,80.76,100.0,89.35,80.64,100.0,89.28
Unknown,50% 50% 0%,N,73.47,100.0,84.7,73.56,100.0,84.76
Unknown,50% 50% 0%,N,83.46,100.0,90.98,83.45,100.0,90.98
Unknown,50% 50% 0%,N,74.39,100.0,85.31,74.39,100.0,85.32
Unknown,50% 50% 0%,N,84.19,100.0,91.41,84.43,100.0,91.55
bpic2015_5_f2,50% 50% 0%,N,73.22,100.0,84.54,73.24,100.0,84.55
Unknown,50% 50% 0%,N,90.06,100.0,94.74,89.71,100.0,94.55
Unknown,50% 50% 0%,N,95.42,100.0,97.66,95.47,100.0,97.68
Production,50% 50% 0%,N,64.07,100.0,78.07,64.59,100.0,78.46
Unknown,50% 50% 0%,N,89.35,100.0,94.37,89.35,100.0,94.37
Unknown,50% 50% 0%,N,89.82,100.0,94.57,89.39,100.0,94.34
Unknown,50% 50% 0%,N,17.47,100.0,29.6,16.84,100.0,28.72
Unknown,50% 50% 0%,N,60.15,100.0,75.12,60.15,100.0,75.12
