dataset,current_folder,upper_folder,precision_mean (%),recall_mean (%),fscore_mean (%),precision_weighted (%),recall_weighted (%),fscore_weighted (%)
bpic2011_f1,0% 0% 100%,QN,52.16,100.0,67.85,50.09,100.0,66.3
bpic2011_f2,0% 0% 100%,QN,38.66,100.0,55.74,38.6,100.0,55.68
bpic2011_f3,0% 0% 100%,QN,61.32,100.0,75.59,60.08,100.0,74.76
bpic2011_f4,0% 0% 100%,QN,52.89,100.0,69.1,53.25,100.0,69.42
bpic2012_accepted,0% 0% 100%,QN,43.66,97.14,60.12,44.97,98.43,61.63
bpic2012_declined,0% 0% 100%,QN,78.34,97.14,86.73,79.31,98.43,87.84
bpic2015_1_f2,0% 0% 100%,QN,67.45,91.89,77.79,68.59,93.32,79.06
bpic2015_2_f2,0% 0% 100%,QN,83.46,100.0,90.98,83.45,100.0,90.98
bpic2015_3_f2,0% 0% 100%,QN,72.52,97.5,83.18,72.74,97.79,83.43
bpic2015_4_f2,0% 0% 100%,QN,81.97,97.5,89.05,82.73,98.14,89.77
bpic2015_5_f2,0% 0% 100%,QN,72.83,100.0,84.28,72.86,100.0,84.3
hospital_billing_2,0% 0% 100%,QN,58.48,66.67,62.31,62.84,71.63,66.95
hospital_billing_3,0% 0% 100%,QN,63.82,66.67,65.21,68.61,71.67,70.11
Production,0% 0% 100%,QN,37.88,16.6,23.05,48.72,21.48,29.77
sepsis_cases_1,0% 0% 100%,QN,77.62,86.67,81.9,82.47,92.12,87.03
sepsis_cases_2,0% 0% 100%,QN,81.71,91.67,86.35,83.14,93.59,88.01
sepsis_cases_4,0% 0% 100%,QN,15.64,92.86,26.68,15.77,95.82,27.01
traffic_fines_1,0% 0% 100%,QN,30.07,50.0,37.56,30.07,50.0,37.56
